published_time,title,text,time,location,height
"October 21, 2019",A 31-year-old man died in a motor vehicle accident,"A 31-year-old man from Wangdue Phodrang died on the spot while a bolero pickup truck he was travelling in veered off the road and fell about 100 feet down a cliff at Haetshothangkha under Gase Tshogongm Gewog yesterday night.Haetshothangkha is about few kilometres away from Wangdue bridge towards Tsirang.There were three of them in the pickup truck including the driver. However, the driver and the other passenger escaped with minor injury according to a source.The cause of the accident is yet to be ascertained.Changa Dorji",['night'], Haetshothangkha under Gase Tshogongm Gewog yesterday night,kilo
"April 30, 2012",Accident kills two,"Two men aged 27 and 32 died on the spot when the Tata Manza car they were travelling in veered off the road. The car plunged 250 metres below the road. The incident took place at around 1 PM yesterday afternoon in Kamji, about 24 kilometres from away from Phuentsholing.They were on their way to Thimphu. The driver was from Wangdue Phodrang and the passenger, a monk, was from Chhukha. The cause of the accident is yet to be ascertained.","['around 1 PM', 'afternoon']",a Manza car they were travelling in veered off the road,250
"November 1, 2019",A 40-year-old man dies in a motor vehicle accident,"A 40-year-old man died on the spot when the pickup truck he was driving veered off the road and fell about 500 metres at Rakshadangra, which is about 6 kilometres away from Damphu town towards Gelegphu.The incident happened yesterday at around 7 pm. The deceased was returning from Gelegphu and travelling back to Paro.Namgay Wangchuk",['around 7 pm']," Rakshadangra, which is about 6 kilometres away from Damphu town towards Gelegphu",500
"May 2, 2012","Five killed in an accident, Takti","Five men died on the spot when the Santro car they were travelling in veered off the road at Takti, about 70 kilometres from Phuentsholing.The accident took place in the early hours of Tuesday. Of the five, two were Bhutanese and the rest Indians. They were on their way to Phuentsholing from Thimphu. The cause of the accident is under investigation.In another accident an 18-year-old boy died in a car accident in Thimphu. The accident occurred in the early hours of Tuesday along the road to Kuenselphodrang.The Hyundai Tucson he was driving fell 245 feet below the road. The other man a 20-year-old escaped with minor head injuries. Traffic police suspect over speeding could be the cause of the accident.","['the early hours of Tuesday', 'the early hours']"," Takti, about 70 kilometres from Phuentsholing",kilo
"November 18, 2019","World Remembrance Day, remembering those killed and injured in road accidents","In memory of those killed and injured in road accidents and to lift the spirits of the affected families, friends and loved ones, the World Remembrance Day was observed today. The Road Safety and Transport Authority (RSTA) lighted a thousand butter lamps.According to reports with the RSTA, more than a thousand road accidents are reported annually in the country, and more than a hundred people lose their lives in road crashes every year.“In the 1990s mechanical failure was an issue. It played a big role in traffic accidents. But now it is more of human errors where we don’t take safety seriously. Drink driving is a major issue, and speeding is another cause. If you slow, you can always avoid accidents but when you are speeding, a small mistake can cost a life. And I think, for Bhutan, with better roads people are speeding and therefore, it is causing accidents,” said Pemba Wangchuck, the Director-General of RSTA.The authority is also sensitizing drivers including those in the civil service on road safety. However, not being able to monitor every single driver is one of the challenges that the authority is faced with.“We cannot monitor every car or every driver, I think each one of us must monitor ourselves and also we must ensure that there is peer pressure to have strict road discipline. I think each one of us as drivers, must have a responsibility and put safety first, our own safety and others’ safety. We cannot have reckless drivers especially because the roads are better. Each one of us as drivers should take precautions first and make safety our priority,” the Director-General added.Today, there are more than one hundred thousand vehicles in the country.Pema Seldon Tshering",[], the authority is faced with,no metre height
"November 20, 2019","One dead, three injured in a MV accident at Chendenbji","A 23-year-old man died on the spot when the bolero pickup truck he was driving veered off the road near Chendenbji Lhakhang under Tangsibji Gewog in Trongsa on Monday night.According to a source, there were four people in the vehicle including the deceased. Three of the passengers escaped with minor injuries, and they were evacuated to Saephu Basic Health Unit. The deceased, from Dechhenling in Pemagatshel, is said to have driven his friend’s vehicle.Police suspect unlicensed and drink driving to be the cause of the accident.Passang",['Monday night'],ed to Saephu Basic Health Unit,no metre height
"December 20, 2019",Phonmey Gup dies in accident,"The Phongmey Gup of Trashigang died when the gewog’s bolero he was travelling in was hit by a falling boulder at Phimsong yesterday.The incident occurred at around 3:30 pm when he along with three other people were visiting the Shairi farm road construction site in Phimsong chiwog. The boulder fell from above the road where an excavator was working on the farm road construction.While the two passengers escaped unhurt, one is currently being treated at Monggar Hospital.Sonam Darjay",['around 3:30 pm'], Phimsong yesterday,no metre height
"January 1, 2020",A woman dies in a motor vehicle accident at Lampelri,"A woman died on the spot when the car she was travelling in veered off the road and fell about 100 metres below the road at Lampelri, between the Thimphu-Punakha highway, today morning.There were four people in the car including the deceased. Three of them escaped unhurt.According to the police, the deceased was one of the passengers and the vehicle was heading towards Punakha from Thimphu during the time of the incident. Officials suspect over speeding as the cause of the accident.The case is under investigation.Changa Dorji",['morning']," Lampelri, between the Thimphu-Punakha highway, today morning",100
"January 1, 2020",Around 16 motor vehicle accidents recorded in Thimphu yesterday,"With the onset of the festive season in the country, drunk driving is turning into a major cause of road accidents.Last night alone, Thimphu recorded sixteen motor vehicle accidents of which around twelve cases were confirmed as drunk driving. Of which three cases were recorded as major accidents.Other causes include overspeeding, icy road, tailgating and not following traffic rules. Around five accidents were recorded as hit and run cases.According to the Traffic Division, Bhutanese does not have the mentality of pooling vehicles on such occasions and should always designate a sober driver if one plans to drink.Kinley Dem",['Last night'],ing and not following traffic rules,no metre height
"January 10, 2020",Motor vehicle accident kills three,"The ambulance of Nanong Basic Health Unit (BHU) veered off the road at Khenandrang, about 12 kilometres away from the BHU at around 10 30 am yesterday killing three people including the driver.The ambulance, carrying a nine-year-old patient with her parents as attendants, was on its way to Pema Gatshel Hospital from Nanong BHU. The ambulance driver and the patient died on the spot, while the mother of the patient succumbed to injuries on the way to Pema Gatshel Hospital. The father survived with a head injury and he is further referred to Thimphu JDWNRH.The 33-year-old driver is from Jurmed Gewog in Monggar Dzongkhag, and the family in the ambulance are from Nanong Gewog in Pema Gatshel.The cause of the accident is under investigation.Thinley Dorji",['10 30']," Khenandrang, about 12 kilometres away from the BHU ",kilo
"January 27, 2020","Four killed in MV accident, Dagana","Four people were killed when the bolero pickup truck they were travelling in veered off the road and fell about 150 metres from the Khebisa gewog centre road in Dagana on Saturday at about 3:00 am in the morning.A 17-year-old girl, a 10-year-old boy, and a 27-year-old man who was driving the bolero died on the spot. A 49-year-old man who suffered grave injuries was airlifted to Jigme Dorji Wangchuck National Referral Hospital yesterday but later succumbed to injuries.According to sources, the minors were siblings and were on their way to Khebisa Gewog from Thimphu to celebrate Losar with their parents who were in the gewog. The accident occurred at Maenchhuna under Khebisa Gewog in Dagana.The cause of the accident is not known and police are investigating the case.Namgay Wangchuk",['about 3:00 am in the morning'],urday ,150
"February 14, 2020","A 28-year-old monk dies in a MV accident, Lhuentse",A 28-year-old man from Gangzur Gewog died when the Santro car he was driving veered off the road and fell approximately 250 metres below the road near Maenbi Gewog in Lhuntse on Wednesday.The incident happened at around 3:20 pm.The deceased who was a monk in Lhuentse Rabdhey succumbed to head injuries at the Lhuentse hospital. The deceased along with other three passengers were travelling back from Takila towards Lhuentse when the accident occurred. Other three passengers are said to be in stable condition.Unlicensed driving is suspected to have caused the accident.Sonam Tshering,['around 3:20 pm'],ely 250 metres below the road near Maenbi Gewog in Lhuntse on Wednesday,250
"February 15, 2020","A 48-year-old man dies in MV accident, Samdrup Jongkhar","A 48-year-old man died in a motor vehicle accident today at around 10:00 AM at Minjiwoong under Serthig Gewog in Samdrup Jongkhar.The deceased, an Indian national, was working as a construction labourer.According to sources, four of them including the driver were moving down to Jomotshangkha when the pickup truck they were travelling in veered off and fell 150 metres below the road. Another Indian labourer is currently referred to Jomotshangkha BHU while the driver and another labourer escaped with minor injuries.Cause of the incident is under investigation.Kinley Wangchuk",['around 10:00 AM'], around 10:00 AM ,150
"March 17, 2020",Two die in MV accident,"A 37-year-old man and his 17-year-old daughter died on the spot when the car he was driving veered off the road and fell about 400 metres down the cliff at Melongbrak under Samdrup Jongkhar yesterday evening.The accident happened at around 5.30 pm. According to sources, the deceased last contacted his family at around 4.00 pm from Narphung. They were returning back to Pema Gatshel from Samdrup Jongkhar.Police, Desuups, the staff of Gonpasingma LSS and Yelchen CS, and Locals of Zobel Gewog helped recover the bodies. They were able to recover the bodies at around 3:00 pm today.Thinley Dorji","['evening', '5.30 pm', '4.00 pm', 'around 3:00 pm']", Melongbrak under Samdrup Jongkhar yesterday evening,400
"June 1, 2020",Unlicensed driver fleeing crime scene meets with an accident- Thimphu,"A man has been admitted at the Jigme Dorji Wangchuck National Referral Hospital in Thimphu after his car veered off the road near the Dechen-Zam at Chubachhu this evening.According to eyewitnesses, the suspect involved in the motor vehicle accident tried to flee the crime scene after he hit a biker below the Royal Academy of Performing Arts at Chubachhu. The biker escaped unhurt.According to police, the driver was not under the influence of alcohol but did not have a driving license. The case is currently under investigation.Passang Dorji",['this evening'], the Jigme Dorji Wangchuck N,no metre height
"June 11, 2020","Two die in MV accident, Wangdue Phodrang","A woman and her three-year-old son lost their lives in a motor vehicle accident at Tikeyzampa in Wangdu Phodrang this morning.The father, who was driving the bolero, and another man have been taken to the Hospital in Wangdue. They were heading towards Khotokha from Wangdue Phodrang when the bolero veered off the road and plunged down about one hundred metres from the road.The cause of the accident is yet to be ascertained.Changa Dorji",['this morning'], Tikeyzampa in Wangdu Phodrang this morning,hundred
"June 3, 2012",Accident kills a man,A 54-year-old man died this morning after a Maruti car he was traveling in went off road and fell more than 100 feet down the Thrumshingla pass. Three people including the driver were travelling from Lhuentse to Bumthang when the incident occurred. It was 6 am in the morning. The driver is in a critical condition.  The third person escaped without injuries. All of them come from Tshengkhar Village under Lhuentse Dzongkhag.The police said negligent driving was cause of the accident.,"['this morning', '6 am in the morning']",no location info,no metre height
"September 14, 2020","Vehicle accident claims a life, Zhemgang","A 29-year-old trucker lost his life at round 9.30 last night along the Tingtibi- Trongsa highway in Zhemgang. His truck veered off the road and fell about 100 metres at around six kilometres away from Wangdigang tri-junction.The deceased was heading back to Nganglam after unloading cement consignment from Wangdue Phodrang. He was alone in the truck.Police and Dessup officials from Zhemgang helped retrieve the body and handed over to his family.Meanwhile, the cause of the accident is under investigation.Pema Samdrup",['last night'], round 9,100
"November 19, 2020","Accident claims five lives, one still missing- Trashigang","A search team is still searching for a man who went missing after an accident that claimed five lives earlier this morning. A bolero pick-up truck with six people in it veered off the road and fell around 500 metres below the road near Threlphu village under Kangpar Gewog in Trashigang.The incident happened at around 7:30 am today. Three men and three females were on their way to a crematorium for a funeral. While officials have recovered the bodies of five passengers including a 15-year-old girl student, a man is still missing.A source says the driver has no license and its suspected that he might have fallen asleep behind the wheel.Sonam Darjay","['earlier this morning', 'around 7:30 am today']", claimed five lives earlier this morning,500
"June 11, 2012",A man dies in an accident,"A 24-year-old man from Chaling in Monggar died on the spot when the DCM truck he was driving went off road and fell 35 metres below, last evening.  The accident took place at Waichur under Dramedtse Gewog in Monggar.The two other passengers in the truck were injured and have been referred to Trashigang hospital.The cause of accident is yet to be determined.",['last evening'], Waichur under Dramedtse Gewog in Monggar,35
